title,employment_type,required_experience,industry,function,has_company_logo,Actual,Predicted,Result
Home Based Payroll Typist/Data Entry Clerks Positions Available,unknown,unknown,unknown,unknown,0,1,1,Correct
. Net Developers,Full-time,Mid-Senior level,Computer Software,Information Technology,0,0,0,Correct
BI Practice Director,Full-time,Director,Information Technology and Services,Information Technology,1,0,0,Correct
Grant Funding Advisor,Full-time,Not Applicable,unknown,Sales,1,0,0,Correct
English Teacher Abroad ,Contract,unknown,Education Management,unknown,1,0,0,Correct
Recovery Specialists,Full-time,Associate,Financial Services,Customer Service,1,0,0,Correct
Assistant Retail Manager -- Must LOVE Dogs,unknown,unknown,unknown,unknown,0,0,0,Correct
Operations ,Full-time,unknown,Marketing and Advertising,unknown,1,0,0,Correct
.Net developer,Full-time,Not Applicable,Information Technology and Services,unknown,1,0,0,Correct
Mechanical Engineer,unknown,unknown,unknown,unknown,1,0,0,Correct
Graduates: English Teacher Abroad (Conversational),Contract,Entry level,Education Management,Education,1,0,0,Correct
R&D Engineer,Full-time,Not Applicable,Computer Software,Engineering,0,0,0,Correct
Grails & Java Developer for Cloud Platform provider. Remote Full Time,Full-time,Associate,Information Technology and Services,Information Technology,1,0,0,Correct
Technical Product Development Manager (Web),Full-time,Mid-Senior level,Insurance,Information Technology,1,0,0,Correct
Customer Service and Dispatch ,Part-time,unknown,unknown,Customer Service,1,0,0,Correct
Product Owner,Full-time,Director,Internet,Product Management,1,0,0,Correct
Hardware Systems Design Engineer (US),Full-time,Mid-Senior level,Electrical/Electronic Manufacturing,Engineering,1,0,0,Correct
"Business Development Manager, Taiwan",Full-time,Not Applicable,Information Technology and Services,Business Development,1,0,0,Correct
Indirect Lending Underwriter,Full-time,Associate,Banking,Finance,1,0,0,Correct
Data Scientist,unknown,unknown,unknown,Research,1,0,0,Correct
SEO Manager,Full-time,Associate,Internet,Marketing,1,0,0,Correct
Customer Service Associate - On Call ,Part-time,Entry level,Education Management,Administrative,1,0,0,Correct
Java Frontend Software Developer,Full-time,Entry level,Information Technology and Services,Engineering,1,0,0,Correct
QA Engineer,Full-time,Associate,Computer Software,Information Technology,1,0,0,Correct
Ruby on Rails Engineer,Full-time,Mid-Senior level,Internet,Engineering,1,0,0,Correct
Forklift Operator ,Full-time,Entry level,Food Production,Production,1,0,0,Correct
"Plant Manager - SAP Lean Manufacturing - Phenix City, AL",Full-time,unknown,Management Consulting,unknown,0,0,0,Correct
Electrician,Full-time,Mid-Senior level,Chemicals,Manufacturing,1,0,0,Correct
Full-Stack Engineer,Full-time,unknown,Computer Software,Information Technology,1,0,0,Correct
Service Delivery Manager 1 ,Full-time,Mid-Senior level,Consumer Services,Management,1,0,0,Correct
LDAP Admin,Contract,unknown,Computer & Network Security,unknown,0,0,0,Correct
Payroll Data Coordinator Positions - Earn $100-$200 Daily ,unknown,unknown,unknown,unknown,0,1,1,Correct
Country Manager / Co-Founder / CEO @ Investly,Full-time,Entry level,Financial Services,Business Development,1,0,0,Correct
CDL Driver-Coal Valley,Full-time,unknown,Building Materials,unknown,1,0,0,Correct
UX Designer,Full-time,Mid-Senior level,Information Technology and Services,Information Technology,1,0,0,Correct
English Teacher Abroad ,Contract,unknown,Education Management,unknown,1,0,0,Correct
Ad Operations Assistant,Full-time,Entry level,Computer Games,Quality Assurance,1,0,0,Correct
Account Manager - Chicago,Full-time,Associate,Consumer Services,Sales,1,0,0,Correct
"  Resources Change Management, Process Excellence and Change Enablement Manager",Full-time,unknown,Oil & Energy,Human Resources,0,1,0,Wrong
Associate Business Development,Full-time,Entry level,Information Technology and Services,Business Development,0,0,0,Correct
Web Developer (Intern) ,Temporary,Internship,unknown,unknown,1,0,0,Correct
English Teacher Abroad ,Contract,unknown,Education Management,unknown,1,0,0,Correct
Infrastructure Specialist AIX/UNIX ,unknown,unknown,unknown,unknown,0,0,0,Correct
Account Manager,Part-time,unknown,E-Learning,Sales,0,1,1,Correct
Auditor,Full-time,unknown,Accounting,unknown,0,0,0,Correct
Event Staff - Live In-Stores Infomercial ,Full-time,Not Applicable,Consumer Goods,Sales,0,0,0,Correct
BI Practice Director,Full-time,Director,Information Technology and Services,Information Technology,1,0,0,Correct
Implementation Manager,Full-time,Mid-Senior level,Information Technology and Services,Project Management,0,0,0,Correct
Content Architect,Full-time,Mid-Senior level,Information Technology and Services,Information Technology,1,0,0,Correct
Graduates: English Teacher Overseas,Contract,unknown,Education Management,unknown,1,0,0,Correct
Outbound Telesales Agent,unknown,unknown,unknown,unknown,1,0,0,Correct
Graduate Creative Developer,Full-time,Entry level,Marketing and Advertising,Engineering,1,0,0,Correct
English Teacher Abroad,Contract,unknown,Education Management,unknown,1,0,0,Correct
looking for sales agent with firearms parts and accessories backround,unknown,unknown,unknown,unknown,0,0,0,Correct
Labor & Employment Associate,unknown,unknown,unknown,unknown,0,0,0,Correct
Product Visual Designer,Full-time,Not Applicable,Information Technology and Services,Design,1,0,0,Correct
Full-Time Caregiver for Spunky Young Woman,Full-time,unknown,unknown,Health Care Provider,1,0,0,Correct
Sales Executive,Full-time,unknown,Information Technology and Services,Sales,1,0,0,Correct
Want to work at Global Beach?,unknown,unknown,unknown,unknown,1,0,0,Correct
Regulatory Affairs Associate / Clinical Trails,unknown,Mid-Senior level,Pharmaceuticals,unknown,1,0,0,Correct
Account Executive ,Full-time,Associate,Computer Software,Sales,1,0,0,Correct
New York Spanish Bilingual Communication Assistant ,Part-time,Entry level,Telecommunications,Customer Service,1,0,0,Correct
Writers,Temporary,Not Applicable,Information Technology and Services,Writing/Editing,1,0,0,Correct
Mirfield Retail Apprenticeships 16-18 Year Olds Only Due to Government Funding,Full-time,Entry level,unknown,Customer Service,1,0,0,Correct
Business Development & Sales Consultant,unknown,unknown,unknown,unknown,0,0,0,Correct
Basingstoke Fragrance/Beauty Staff Needed,unknown,unknown,Cosmetics,unknown,1,0,0,Correct
"Food Engineer - MFC Process Control - Collegedale, TN",Full-time,unknown,unknown,unknown,0,0,0,Correct
Manager of Finance,Full-time,unknown,Accounting,unknown,0,0,0,Correct
Translation Project Manager,unknown,unknown,unknown,unknown,1,0,0,Correct
Receptionist/Office Clerk,Part-time,Entry level,Hospital & Health Care,Administrative,1,0,0,Correct
Outside Sales Executive,Full-time,Associate,"Leisure, Travel & Tourism",Sales,1,0,0,Correct
Inwards & Outwards Goods Coordinator,Full-time,Associate,Warehousing,unknown,1,0,0,Correct
Workers Compensation Attorney,unknown,unknown,unknown,unknown,1,0,0,Correct
Drupal Developer,Contract,Mid-Senior level,Computer Software,Information Technology,1,0,0,Correct
Product Sourcing ,Full-time,Associate,Hospital & Health Care,Administrative,1,0,0,Correct
Fall Analyst,unknown,unknown,unknown,unknown,1,0,0,Correct
Client Services Manager,Full-time,unknown,Information Technology and Services,Accounting/Auditing,1,0,0,Correct
Interior Designer,Full-time,unknown,unknown,Design,1,0,0,Correct
Marketing Internship - Summer 2014,Contract,Internship,Marketing and Advertising,Marketing,1,0,0,Correct
Customer Support Agent,unknown,unknown,unknown,unknown,1,0,0,Correct
Senior Digital Designer,Full-time,unknown,Design,Information Technology,1,0,0,Correct
Director Supply Chain - Strategy,Full-time,Director,Industrial Automation,Manufacturing,0,0,0,Correct
Graduates: English Teacher Abroad (Conversational),Contract,Entry level,Education Management,Education,1,0,0,Correct
PHP / LAMP / Magento / Symfony / Zend Developer ,Full-time,Mid-Senior level,Internet,Information Technology,1,0,0,Correct
Test Engineer ,Full-time,Associate,Computer Software,Information Technology,1,0,0,Correct
General Manager - New York,Full-time,Mid-Senior level,Logistics and Supply Chain,Management,1,0,0,Correct
Agent-Inbound Sales Position,Full-time,Entry level,Telecommunications,Customer Service,1,0,0,Correct
"CONTRACT: Design Engineer , North Hollywood, CA",Contract,Mid-Senior level,Aviation & Aerospace,Design,0,0,0,Correct
Sales Representative with Management Training - AT&T,Full-time,unknown,Consumer Services,Sales,1,0,0,Correct
Customer Service Associate - Part Time,Full-time,Entry level,Financial Services,Customer Service,1,0,0,Correct
Talent Management Process Manager,Full-time,unknown,Management Consulting,unknown,0,0,0,Correct
Looking for a wedding videographer,unknown,unknown,unknown,unknown,0,0,0,Correct
Customer Service Representative,Full-time,Entry level,Real Estate,Customer Service,1,1,1,Correct
Oracle Techno Functional ,Contract,Mid-Senior level,Information Technology and Services,Information Technology,0,0,0,Correct
"Level I Basic Digital Media Logger, Broadcast Operations Division",unknown,unknown,unknown,unknown,1,0,0,Correct
Beauty & Fragrance consultants needed in Newcastle,unknown,unknown,unknown,unknown,1,0,0,Correct
Account Manager Germany,Full-time,unknown,Events Services,unknown,1,0,0,Correct
Graduates: English Teacher Abroad ,Contract,unknown,Education Management,unknown,1,0,0,Correct
"Warehouse Operative, Avonmouth - Bristol BS35",Full-time,Not Applicable,Warehousing,Distribution,0,0,0,Correct
Customer Success Consultant,Full-time,Associate,Information Technology and Services,Customer Service,1,0,0,Correct
Specialist Curriculum Associate,Full-time,unknown,Education Management,Writing/Editing,1,0,0,Correct
MBA Intern,Other,Not Applicable,Internet,Other,1,0,0,Correct
Sales Rep for DirecTV - Management Training,Full-time,unknown,Consumer Services,Sales,1,0,0,Correct
WF17 6LN Apprentice Management Support Assistant,Full-time,unknown,unknown,unknown,1,0,0,Correct
Want to Switch Career in Mobility Domain? Come and join us.,unknown,unknown,unknown,unknown,1,0,0,Correct
Head of Communications,Full-time,Mid-Senior level,Financial Services,Public Relations,1,0,0,Correct
Sales Rep / Sales Development Representative,Part-time,Associate,Marketing and Advertising,Business Development,1,0,0,Correct
Support Engineer (2 open positions),unknown,unknown,unknown,unknown,1,0,0,Correct
English Teacher Abroad ,Contract,unknown,Education Management,unknown,1,0,0,Correct
Digital Producer/ Project Manager,Full-time,Mid-Senior level,Information Technology and Services,Information Technology,0,0,0,Correct
Customer Service Technical Specialist ,Full-time,Entry level,Computer Hardware,Customer Service,1,0,0,Correct
Operations Specialists,Full-time,unknown,unknown,unknown,1,0,0,Correct
Application Developer - .NET/Java,Full-time,Mid-Senior level,Information Technology and Services,Information Technology,1,0,0,Correct
Operations Manager,Full-time,unknown,unknown,unknown,1,0,0,Correct
Business Analyst,unknown,unknown,unknown,unknown,1,0,0,Correct
Create Pretty Things (Design),unknown,unknown,unknown,unknown,1,0,0,Correct
Marketing Professional,Full-time,unknown,Oil & Energy,Marketing,1,0,0,Correct
Developer - Mobile iOS,Contract,Mid-Senior level,Government Administration,Information Technology,0,0,0,Correct
Certified Medical Coding Manager                          ,Full-time,Mid-Senior level,Hospital & Health Care,Management,0,0,0,Correct
Ipswich Beauty/Fragrance Staff Needed,unknown,unknown,Cosmetics,unknown,1,0,0,Correct
Senior Mechanical Design Engineer,unknown,unknown,Mechanical or Industrial Engineering,Engineering,0,1,1,Correct
Graduates: English Teacher Abroad (Conversational),Contract,Entry level,Education Management,Education,1,0,0,Correct
EHS Manager,Full-time,Mid-Senior level,Construction,unknown,1,0,0,Correct
English Teacher Abroad,Contract,unknown,Education Management,unknown,1,0,0,Correct
Product Manager ,Full-time,unknown,Telecommunications,unknown,1,0,0,Correct
Customer Service Associate,Full-time,Entry level,Computer Software,Customer Service,1,0,0,Correct
Inside Sales Representative,Full-time,Associate,Computer Software,Sales,1,0,0,Correct
Software Engineer - Frontend,Full-time,unknown,unknown,Engineering,1,0,0,Correct
Used Car Sales Representative,Full-time,Associate,Automotive,Sales,1,0,0,Correct
Android Engineer,unknown,unknown,unknown,Engineering,1,0,0,Correct
Receptionist | Administrative Assistant,Part-time,unknown,Marketing and Advertising,Administrative,1,0,0,Correct
Junior Web Developer ,Full-time,unknown,Human Resources,Information Technology,1,0,0,Correct
Pharmaceutical / Compound Sales Representative- Georgia,Full-time,Associate,Pharmaceuticals,Sales,1,0,0,Correct
Mid-Senior Level PHP Developer,Full-time,Mid-Senior level,Internet,Information Technology,1,0,0,Correct
Senior Front End Engineer,Full-time,unknown,Computer Software,Engineering,1,0,0,Correct
Sr. Security Developer,Full-time,Mid-Senior level,Information Technology and Services,unknown,1,0,0,Correct
25 CLIENT SUPPORT OFFICERS HIRING : IMMEDIATELY PLACING,unknown,unknown,Consumer Services,Customer Service,1,0,0,Correct
Junior Account Manager (f/m),Full-time,Entry level,Marketing and Advertising,Advertising,1,0,0,Correct
Designer (Senior and Junior),unknown,unknown,unknown,unknown,1,0,0,Correct
Work at Home - Business Owner,unknown,unknown,unknown,unknown,1,0,0,Correct
Sale Representatives,Full-time,Mid-Senior level,Retail,Sales,1,0,0,Correct
iOS Senior Software Engineer,Full-time,Associate,Information Technology and Services,Engineering,1,0,0,Correct
Customer Service Rep (Video Games),Full-time,Entry level,Consumer Services,unknown,1,0,0,Correct
Customer Service Associate - Part Time ,Part-time,Entry level,Consumer Services,Customer Service,1,0,0,Correct
"Plumbing Service Technician - $1,000 Bonus Available",Full-time,Entry level,Construction,Other,1,0,0,Correct
Customer Service Associate ,Full-time,Entry level,Hospital & Health Care,Customer Service,1,0,0,Correct
Product Designer,Full-time,Mid-Senior level,Computer Software,Design,1,0,0,Correct
Customer Success Manager,Full-time,Not Applicable,Computer Software,Sales,1,0,0,Correct
 Translation Project Manager,unknown,unknown,unknown,unknown,1,0,0,Correct
"Software Engineer, iOS",Full-time,Associate,Internet,Engineering,1,0,0,Correct
Sales and Partnerships Intern,unknown,unknown,unknown,unknown,1,0,0,Correct
Graduate Salesforce Administrator,Full-time,Entry level,Information Technology and Services,Administrative,1,0,0,Correct
Community Ambassador UK (Remote),unknown,unknown,unknown,Marketing,1,0,0,Correct
Technical Support Representative,Full-time,Entry level,Information Technology and Services,Information Technology,1,0,0,Correct
UX Researcher - Mobile Augmented Reality,Full-time,Associate,Internet,Research,1,0,0,Correct
Broadband Technician,Contract,Entry level,Telecommunications,unknown,1,0,0,Correct
Creative Agency Senior Account Executive,Full-time,Mid-Senior level,Marketing and Advertising,Advertising,1,0,0,Correct
Full-Cycle Oil & Gas Recruiter ,Full-time,Associate,Oil & Energy,Human Resources,1,0,0,Correct
Graduates: English Teacher Abroad (Conversational),Contract,Entry level,Education Management,Education,1,0,0,Correct
Cook,unknown,unknown,unknown,unknown,0,0,0,Correct
BI Consultant & Database Expert,Full-time,Associate,unknown,unknown,1,0,0,Correct
Administrative Assistant / Office Manager,Full-time,unknown,Computer Software,Administrative,1,0,0,Correct
Junior UX Designer,Full-time,Entry level,Marketing and Advertising,Design,1,0,0,Correct
Verification Specialist,unknown,unknown,unknown,unknown,1,0,0,Correct
Office Receptionist,Contract,Associate,Hospital & Health Care,Administrative,1,0,0,Correct
Data Interface Analyst,Full-time,Associate,Information Technology and Services,Data Analyst,1,0,0,Correct
Account Director,unknown,unknown,unknown,unknown,0,0,0,Correct
Senior Product Manager ,Full-time,Associate,Computer Software,Information Technology,1,0,0,Correct
Requirements Analyst,Full-time,Mid-Senior level,Telecommunications,Engineering,1,0,0,Correct
Content Writer Needed,Full-time,unknown,Internet,Writing/Editing,1,0,0,Correct
iOS Developer,Contract,Mid-Senior level,Computer Software,Information Technology,1,0,0,Correct
General Manager - Chicago,Full-time,Mid-Senior level,Logistics and Supply Chain,Management,1,0,0,Correct
Ruby on Rails Developer,Full-time,Mid-Senior level,Printing,Engineering,1,0,0,Correct
Live in Caregiver/PCA/DCW/HHA-Lawrence MI,Other,unknown,Hospital & Health Care,Health Care Provider,1,0,0,Correct
Front End Developer,Full-time,Mid-Senior level,Financial Services,Engineering,1,0,0,Correct
Social Media & Community Manager,Full-time,Entry level,Internet,Marketing,0,0,0,Correct
Outside Sales Professional-Kalamazoo,unknown,unknown,unknown,unknown,1,0,0,Correct
Inside Sales Representative,unknown,unknown,unknown,unknown,1,0,0,Correct
Research and Consulting Project Manager,Full-time,Mid-Senior level,Market Research,Project Management,1,0,0,Correct
Consultant - Professional Services Team,unknown,unknown,unknown,unknown,1,0,0,Correct
"Director, Strategic Accounts",Full-time,Director,Marketing and Advertising,Sales,1,0,0,Correct
Market Specialists,Full-time,Entry level,Market Research,Marketing,1,1,0,Wrong
Customer Service Associate - Part Time,Part-time,Entry level,Consumer Goods,Customer Service,1,0,0,Correct
SEO/Content Marketing Intern,Full-time,Internship,Marketing and Advertising,Marketing,1,0,0,Correct
Team Lead/Supervisor,Full-time,Entry level,Facilities Services,Management,1,0,0,Correct
JavaScript Developer,Full-time,Mid-Senior level,Education Management,Engineering,0,0,0,Correct
Office Manager,unknown,unknown,unknown,unknown,1,0,0,Correct
English Teacher Abroad ,Contract,unknown,Education Management,unknown,1,0,0,Correct
Systems Support Technician,Full-time,Entry level,Information Technology and Services,Information Technology,1,0,0,Correct
AUTOCAD OPERATOR,Full-time,unknown,Staffing and Recruiting,Strategy/Planning,1,0,0,Correct
Video and Marketing Producer for Startup Company | StudyHall.com,Part-time,Internship,unknown,Art/Creative,1,0,0,Correct
Maintenance Technician,Full-time,unknown,unknown,Engineering,0,0,0,Correct
Head of Music,Full-time,Mid-Senior level,Internet,Management,1,0,0,Correct
Sr. Software Developer,Full-time,Mid-Senior level,Computer Software,Engineering,1,0,0,Correct
Avionics Systems Design and Analysis Engineer,Full-time,Mid-Senior level,Aviation & Aerospace,Engineering,1,0,0,Correct
"SharePoint Administrator/Developer (SharePoint 2007/2010, SharePoint Designer) ",Full-time,Mid-Senior level,Computer Software,Information Technology,1,0,0,Correct
Data Entry Admin/Clerical Positions - Work From Home,unknown,unknown,unknown,unknown,0,1,1,Correct
Solution Architect-Crew,Full-time,unknown,Accounting,Information Technology,1,0,0,Correct
Lead Software Developer / CTO @ Investly,Full-time,Entry level,Financial Services,Information Technology,1,0,0,Correct
Lombardi Technical Architect,Full-time,Mid-Senior level,Staffing and Recruiting,unknown,0,0,0,Correct
Director of Growth (remote/telecommute),Full-time,unknown,Internet,Marketing,1,0,0,Correct
Contact Center Manager,Full-time,Not Applicable,Consumer Services,Management,1,0,0,Correct
SQL Server Developer,Contract,Mid-Senior level,unknown,unknown,0,0,0,Correct
Schneider National - Pricing Analyst,Full-time,unknown,unknown,unknown,1,0,0,Correct
Shyp Hero Courier - NYC,Contract,Not Applicable,Package/Freight Delivery,Customer Service,1,0,0,Correct
Admin Assistant,Full-time,Entry level,Hospital & Health Care,Administrative,0,1,1,Correct
Industrial Hygienist,unknown,unknown,unknown,unknown,0,0,0,Correct
Spring Public Affairs Internship,Full-time,Internship,Public Policy,Consulting,1,0,0,Correct
Customer Success Guru,Full-time,Executive,Internet,Customer Service,1,0,0,Correct
Runway Trend Assistant Intern,unknown,unknown,Apparel & Fashion,unknown,1,0,0,Correct
Professional Administrative Associate,Full-time,Entry level,Facilities Services,Administrative,1,0,0,Correct
 College Marketing Rep (SEATTLE),Contract,Entry level,Marketing and Advertising,Marketing,1,0,0,Correct
CDL Driver-Kankakee,Full-time,unknown,Building Materials,unknown,1,0,0,Correct
SAP ABAP Consultant,unknown,unknown,unknown,unknown,0,0,0,Correct
Food Quality,Full-time,unknown,unknown,unknown,0,0,0,Correct
Client Services Co-ordinator,Contract,Entry level,Printing,Project Management,1,0,0,Correct
PHARMACEUTICAL SALES REPRESENTATIVE *High Commissions!*,Full-time,unknown,Medical Devices,Sales,1,0,0,Correct
Auditor,Full-time,unknown,Accounting,unknown,0,0,0,Correct
Customer Service Associate ,Full-time,Entry level,Financial Services,Customer Service,1,0,0,Correct
"Designer, Mobile Web",Full-time,unknown,unknown,unknown,0,0,0,Correct
Software Engineer,Full-time,unknown,Apparel & Fashion,Engineering,1,0,0,Correct
Chief Revenue Officer - High Growth Speciality Finance Company,Full-time,Executive,Financial Services,Business Development,1,0,0,Correct
Digital Marketing Executive,Full-time,Mid-Senior level,Marketing and Advertising,unknown,1,0,0,Correct
Japanese Data Analyst,Full-time,Not Applicable,Online Media,Data Analyst,1,0,0,Correct
PA/Office Manager,Full-time,Associate,Financial Services,Administrative,1,0,0,Correct
Regional Sales Representative(Chicago),Full-time,Mid-Senior level,Hospital & Health Care,Sales,1,0,0,Correct
"Director, Product Development",Full-time,Mid-Senior level,Computer Software,Engineering,1,0,0,Correct
Sales Operations Manager (Boston preferred - remote options available),Full-time,Associate,Internet,Sales,1,0,0,Correct
Contract SilverStripe Developer,unknown,unknown,unknown,unknown,1,0,0,Correct
Graduates: English Teacher Abroad ,Contract,unknown,Education Management,unknown,1,0,0,Correct
Security Sales Executive,Full-time,Not Applicable,Computer & Network Security,Sales,1,0,0,Correct
Bankruptcy Specialist,Full-time,Associate,Financial Services,unknown,1,0,0,Correct
Collections Specialist,Full-time,Entry level,unknown,Customer Service,0,0,0,Correct
Portuguese speaking Team Leader - Malta   ,Full-time,Not Applicable,Gambling & Casinos,Customer Service,0,0,0,Correct
Experienced Travel Recruiter,Full-time,unknown,Staffing and Recruiting,Sales,1,0,0,Correct
Sales and Marketing team expanding. Hiring immediately,unknown,unknown,unknown,Marketing,1,0,0,Correct
Hiring for Business Analyst,Contract,unknown,Information Technology and Services,Information Technology,0,0,0,Correct
Phone Sales,Full-time,Entry level,Consumer Goods,Sales,1,0,0,Correct
Marketing Revenue Manager,unknown,unknown,unknown,unknown,1,0,0,Correct
Marketing Representative,Full-time,Associate,Financial Services,Sales,1,0,0,Correct
Civic Liaison,unknown,unknown,unknown,unknown,1,0,0,Correct
"Head of Delivery, SAP BI & Analytics",Full-time,Executive,Information Technology and Services,Information Technology,1,0,0,Correct
Junior Python Developer,Full-time,Associate,Internet,Information Technology,1,0,0,Correct
Business Intelligence Analyst,Full-time,Associate,Environmental Services,unknown,1,0,0,Correct
Senior SharePoint Consultant,Full-time,Mid-Senior level,unknown,Consulting,1,0,0,Correct
Physical Therapist Outpatient and SNF,Full-time,Mid-Senior level,Hospital & Health Care,Health Care Provider,1,0,0,Correct
Mobile App Developer iOS (m/f),Full-time,Associate,Internet,Engineering,1,0,0,Correct
Data Analyst,Full-time,Mid-Senior level,Computer Games,Data Analyst,1,0,0,Correct
Full-Time Caregiver for Hip Young Man,unknown,unknown,unknown,unknown,1,0,0,Correct
"HIGH PERFORMANCE COMPUTING SOLUTIONS ENGINEER - Houston, TX",unknown,unknown,Computer Software,unknown,0,0,0,Correct
Human Resources Assistant/Executive Assistant/Legal Assistant /Logistics Assistant/Data Entry Clerk /Customer Service Rep/Security Assistant..,Full-time,Not Applicable,Human Resources,Administrative,0,1,0,Wrong
Product Manager,unknown,unknown,unknown,unknown,1,0,0,Correct
Sales Manager,Full-time,Mid-Senior level,Information Technology and Services,Sales,1,0,0,Correct
JUNIOR JAVA WEB DEVELOPER,Full-time,Associate,Computer Software,Information Technology,1,0,0,Correct
"Personal Assistant (Position 2) for Friendly, Laidback Older Man",Full-time,Entry level,Civic & Social Organization,Health Care Provider,1,0,0,Correct
Business Analyst,unknown,unknown,unknown,unknown,0,0,0,Correct
BI Interns,unknown,unknown,unknown,unknown,1,0,0,Correct
Corporate Travel Counselor - South East Region,Full-time,Associate,"Leisure, Travel & Tourism",Other,1,0,0,Correct
Systems Architect,Full-time,Mid-Senior level,Telecommunications,Engineering,1,0,0,Correct
Graduate Developer,Full-time,Entry level,Information Technology and Services,Information Technology,0,0,0,Correct
Production Operator,unknown,unknown,unknown,Manufacturing,0,0,0,Correct
Automotive Wiring Harness Designer,Full-time,Mid-Senior level,Automotive,Engineering,1,0,0,Correct
IT Business Analyst,Full-time,Mid-Senior level,Information Technology and Services,Business Analyst,1,0,0,Correct
Agent-Inbound Sales Position,Full-time,Entry level,Telecommunications,Customer Service,1,0,0,Correct
Sales Managers (2x),Full-time,unknown,Research,Sales,1,0,0,Correct
Strategic Account Director - New York,unknown,unknown,unknown,unknown,1,0,0,Correct
"Oil & Gas Mechanical Engineer - Fort Worth, TX",Full-time,Not Applicable,Oil & Energy,Engineering,0,0,0,Correct
"Raymond Reach Operators | North York, ON",Full-time,Entry level,Package/Freight Delivery,Production,1,0,0,Correct
SEM Specialist,unknown,unknown,unknown,unknown,1,0,0,Correct
Customer Service Apprenticeship 16-18 Year Olds Only,Full-time,Not Applicable,unknown,unknown,1,0,0,Correct
Recruiter,Full-time,Not Applicable,Human Resources,Human Resources,1,0,0,Correct
Lead Front End Developer,Full-time,Mid-Senior level,Marketing and Advertising,Production,1,0,0,Correct
Global Account Executive,unknown,unknown,unknown,unknown,1,0,0,Correct
Customer Service / Admin Assistant,Full-time,Mid-Senior level,Construction,Administrative,1,0,0,Correct
Frontend Web Developer ,Full-time,Associate,Marketing and Advertising,Engineering,1,0,0,Correct
